full_team_name,team_name,real_team_name,league_id,league_name,team_id,division_id,division_name,division_full_name,conference_id,conference_name,conference_full_name,league,team_league_id,city_name,state_name,country,stadium_id,logo_filename
MLS,mls,Major League Soccer,2,mls,1001,108,UA,Unaffiliated,104,UA,Unaffiliated,MLS,100,new_york,ny,us,,mls_logo.png
Atlanta_United_Fc,atlanta_united_fc,Atlanta United FC,2,mls,1013,109,Eastern, Eastern Conference,105,Eastern, Eastern Conference,MLS,101,atlanta,ga,us,182,atlanta_united_fc_logo.png
Cf_Montréal,cf_montréal,CF Montréal,2,mls,1026,109,Eastern, Eastern Conference,105,Eastern, Eastern Conference,MLS,108,montreal,qc,ca,212,cf_montréal_logo.png
Charlotte_Fc,charlotte_fc,Charlotte FC,2,mls,1027,109,Eastern, Eastern Conference,105,Eastern, Eastern Conference,MLS,102,charlotte,nc,us,113,charlotte_fc_logo.png
Chicago_Fire_Fc,chicago_fire_fc,Chicago Fire FC,2,mls,1033,109,Eastern, Eastern Conference,105,Eastern, Eastern Conference,MLS,103,chicago,il,us,219,chicago_fire_fc_logo.png
Columbus_Crew,columbus_crew,Columbus Crew,2,mls,1045,109,Eastern, Eastern Conference,105,Eastern, Eastern Conference,MLS,105,columbus,oh,us,177,columbus_crew_logo.png
D.C._United,d.c._united,D.C. United,2,mls,1047,109,Eastern, Eastern Conference,105,Eastern, Eastern Conference,MLS,106,washington,dc,us,111,d.c._united_logo.png
Fc_Cincinnati,fc_cincinnati,FC Cincinnati,2,mls,1059,109,Eastern, Eastern Conference,105,Eastern, Eastern Conference,MLS,104,cincinnati,oh,us,233,fc_cincinnati_logo.png
Inter_Miami_Cf,inter_miami_cf,Inter Miami CF,2,mls,1072,109,Eastern, Eastern Conference,105,Eastern, Eastern Conference,MLS,107,miami,fl,us,129,inter_miami_cf_logo.png
Nashville_Sc,nashville_sc,Nashville SC,2,mls,1102,109,Eastern, Eastern Conference,105,Eastern, Eastern Conference,MLS,109,nashville,tn,us,154,nashville_sc_logo.png
New_England_Revolution,new_england_revolution,New England Revolution,2,mls,1104,109,Eastern, Eastern Conference,105,Eastern, Eastern Conference,MLS,110,foxborough,ma,us,156,new_england_revolution_logo.png
