image,full_stadium_name,stadium_name,stadium_id,location_name,city_name,full_state_name,state_name,country,capacity,surface,year_opened,roof_type,coordinates,stadium_type,baseball_distance_to_center_field_ft,baseball_distance_to_center_field_m,first_sport_year,soccer_field_width_yd,soccer_field_width_m,soccer_field_length_yd,soccer_field_length_m
,United Center,united_center,237,"Chicago, Illinois",chicago,illinois,il,us,20917,,1994,,,,,,1994–95,,,,
,Wintrust Arena,wintrust_arena,238,"Chicago, Illinois",chicago,illinois,il,us,10387,,,,,,,,2006,,,,
,Wrigley Field,wrigley_field,239,"Chicago, Illinois",chicago,illinois,il,us,41649,Grass,1914,Open,,Jewel box,400,121.92000000048768,,,,,
,Xfinity Mobile Arena,xfinity_mobile_arena,240,"Philadelphia, Pennsylvania",philadelphia,pennsylvania,pa,us,20478,,1996,,,,,,1996–97,,,,
,Yankee Stadium,yankee_stadium,241,"The Bronx, New York",the_bronx,new_york,ny,us,46537,Grass,2009,Open,40°49′45″N 73°55′35″W,Retro-classic,408,124.35840000049743,2015,110,100.584,70,64.008
,M. A. Chidambaram Stadium,m_a_chidambaram_stadium,242,"Chennai, Tamil Nadu",chennai,tamil_nadu,tn,in," 38,200 ",,1916,,,,,,,,,,
,Arun Jaitley Cricket Stadium,,243,"Delhi, Delhi",delhi,delhi,dl,in," 35,200 ",,1883,,,,,,,,,,
,Narendra Modi Stadium,,244,"Ahmedabad, Gujarat",ahmedabad,gujarat,gj,in," 132,000 ",,2020,,,,,,,,,,
,Eden Gardens,,245,"Kolkata, West Bengal",kolkata,west_bengal,wb,in," 68,000 ",,1864,,,,,,,,,,
,Ekana Cricket Stadium,,246,"Lucknow, Uttar Pratesh",lucknow,uttar_pratesh,up,in," 50,000 ",,2017,,,,,,,,,,
,Wankhede Stadium,,247,"Mumbai, Mumbai",mumbai,maharashtra,mh,in," 33,100 ",,1974,,,,,,,,,,
,Maharaja Yadavindra Singh International Cricket Stadium,,248,"Mohali, Punjab",mohali,punjab,pb,in," 38,000 ",,2021,,,,,,,,,,
,Sawai Mansingh Stadium,,249,"Jaipur, Rajasthan",jaipur,rajasthan,rj,in," 30,000 ",,1969,,,,,,,,,,
,M. Chinnaswamy Stadium,,250,"Bengaluru, Karnataka",bengaluru,karnataka,ka,in," 40,000 ",,1969,,,,,,,,,,
,"Rajiv Gandhi International Cricket (""Uppal"") Stadium",,251,"Hyderabad, Telangana",hyderabad,telangana,tg,in," 39,200 ",,2003,,,,,,,,,,
