full_team_name,team_name,real_team_name,league_id,team_id,conference_id,division_id,team_league_id,city_name,state_name,country,stadium_id,logo_filename,team_color_1,team_color_2,team_color_3
Charlotte_Fc,charlotte_fc,Charlotte FC,2,1022,105,109,102,charlotte,nc,us,113.0,charlotte_fc_logo.png,#0085CA,#888B8D,#010101
Chicago_Fire_Fc,chicago_fire_fc,Chicago Fire FC,2,1029,105,109,103,chicago,il,us,219.0,chicago_fire_fc_logo.png,#141B4D,#71C5E8,#D50032
Columbus_Crew,columbus_crew,Columbus Crew,2,1041,105,109,105,columbus,oh,us,177.0,columbus_crew_logo.png,#010101,#FEDD00,#FFFFFF
DC_United,dc_united,D.C. United,2,1047,105,109,106,washington,dc,us,111.0,dc_united_logo.png,#010101,#E4002B,#FFFFFF
Fc_Cincinnati,fc_cincinnati,FC Cincinnati,2,1056,105,109,104,cincinnati,oh,us,233.0,fc_cincinnati_logo.png,#FE5000,#003087,#FFFFFF
Inter_Miami_Cf,inter_miami_cf,Inter Miami CF,2,1070,105,109,107,miami,fl,us,129.0,inter_miami_cf_logo.png,#010101,#F5B6CD,#FFFFFF
Nashville_Sc,nashville_sc,Nashville SC,2,1103,105,109,109,nashville,tn,us,154.0,nashville_sc_logo.png,#EDE939,#201547,#FFFFFF
New_England_Revolution,new_england_revolution,New England Revolution,2,1105,105,109,110,foxborough,ma,us,156.0,new_england_revolution_logo.png,#0C2340,#C8102E,#FFFFFF
New_York_City_Fc,new_york_city_fc,New York City FC,2,1109,105,109,111,new_york,ny,us,241.0,new_york_city_fc_logo.png,#9FD2FF,#000229,#FF5D37
New_York_Red_Bulls,new_york_red_bulls,New York Red Bulls,2,1117,105,109,112,new_york,ny,us,221.0,new_york_red_bulls_logo.png,#BA0C2F,#002554,#FFC72C
Orlando_City_Sc,orlando_city_sc,Orlando City SC,2,1121,105,109,113,orlando,fl,us,165.0,orlando_city_sc_logo.png,#5F249F,#EED484,#FFFFFF
Philadelphia_Union,philadelphia_union,Philadelphia Union,2,1128,105,109,114,philadelphia,pa,us,224.0,philadelphia_union_logo.png,#051C2C,#DFD1A7,#418FDE
Toronto_Fc,toronto_fc,Toronto FC,2,1164,105,109,115,toronto,on,ca,118.0,toronto_fc_logo.png,#A6192E,#A2AAAD,#333F48
Cf_MontrÂal,cf_montrÂal,CF Montréal,2,1021,105,109,108,montreal,qc,ca,212.0,cf_montréal_logo.png,#003DA5,#C1C6C8,#010101
Austin_Fc,austin_fc,Austin FC,2,1009,106,110,116,austin,tx,us,204.0,austin_fc_logo.png,#010101,#00B140,#FFFFFF
Colorado_Rapids,colorado_rapids,Colorado Rapids,2,1038,106,110,117,denver,co,us,140.0,colorado_rapids_logo.png,#862633,#8BB8E8,#C1C6C8
Fc_Dallas,fc_dallas,FC Dallas,2,1057,106,110,118,dallas,tx,us,232.0,fc_dallas_logo.png,#BF0D3E,#00205B,#C1C6C8
Houston_Dynamo_Fc,houston_dynamo_fc,Houston Dynamo FC,2,1064,106,110,119,houston,tx,us,215.0,houston_dynamo_fc_logo.png,#101820,#FF6900,#FFFFFF
La_Galaxy,la_galaxy,Los Angeles Galaxy,2,1076,106,110,120,los_angeles,ca,us,141.0,la_galaxy_logo.png,#13294B,#EAAA00,#004B87
Los_Angeles_Fc,los_angeles_fc,Los Angeles FC,2,1082,106,110,121,los_angeles,ca,us,119.0,los_angeles_fc_logo.png,#101820,#C6AA76,#FFFFFF
Minnesota_United_Fc,minnesota_united_fc,Minnesota United FC,2,1097,106,110,122,minneapolis,mn,us,103.0,minnesota_united_fc_logo.png,#8DC8E8,#D9D9D6,#CB333B
Portland_Timbers,portland_timbers,Portland Timbers,2,1134,106,110,123,portland,orleans,us,202.0,portland_timbers_logo.png,#2C5234,#C99700,#FFFFFF
Real_Salt_Lake,real_salt_lake,Real Salt Lake,2,1138,106,110,124,salt_lake_city,ut,us,105.0,real_salt_lake_logo.png,#9D2235,#001E62,#DAAA00
San_Diego_Fc,san_diego_fc,San Diego FC,2,1142,106,110,125,san_diego,ca,us,217.0,san_diego_fc_logo.png,#687C7B,#051C2C,#FF9E1B
San_Jose_Earthquakes,san_jose_earthquakes,San Jose Earthquakes,2,1146,106,110,126,san_jose,ca,us,196.0,san_jose_earthquakes_logo.png,#003DA5,#C8102E,#53565A
Seattle_Sounders_Fc,seattle_sounders_fc,Seattle Sounders FC,2,1151,106,110,127,seattle,wa,us,179.0,seattle_sounders_fc_logo.png,#2CC84D,#0032A0,#7CE0D3
Sporting_Kansas_City,sporting_kansas_city,Sporting Kansas City,2,1153,106,110,128,kansas_city,ks,us,130.0,sporting_kansas_city_logo.png,#A7BCD6,#0C2340,#898D8D
St_Louis_City_Sc,st_louis_city_sc,St. Louis City SC,2,1156,106,110,129,st_louis,mo,us,144.0,st_louis_city_sc_logo.png,#E0004D,#0C2340,#FEDB00
Vancouver_Whitecaps_Fc,vancouver_whitecaps_fc,Vancouver Whitecaps FC,2,1170,106,110,130,vancouver,bc,ca,115.0,vancouver_whitecaps_fc_logo.png,#13294B,#8BB8E8,#97999B
Boston_Celtics,boston_celtics,Boston Celtics,3,1013,106,112,101,boston,ma,us,230.0,boston_celtics_logo.png,#007A33,#BA9653,#FFFFFF
